userName,Rating,Review,Tanggal
Pengguna Google,1,"Keseimbangan kekuatan di game ini buruk, tak peduli level berapa pun (mau pun sudah unggul level) jika telah death/mati beberapa kali, statistik dari hero yang di gunakan turun signifikan. Bahkan bisa dengan mudah dikalahkan oleh role seperti support, meskipun menggunakan role fighter, atau maskman. Untuk match nya sendiri juga memiliki kekurangan, kebanyakan tim yang di dapat berisi Player pemula yg tidak bisa bermain. Sedangkan tim lawan kebanyakan player pro bahkan tier nya lebih tinggi.",2025-03-25 22:33:56
Pengguna Google,1,"Soal game ini udah bagus dari grafik dan system matchmaking, namun saya ada sedikit problem saat match, jadi saat saya berada didalam match game berlangsung tiba tiba lag ,mengganggu kenyamanan bermain, padahal untuk wifi 40mbps+data aman2 saja,tapi entah kenapa akhir2 ini terasa berat,suka lag dan jump ping tolong untuk dev di optimalkan lagi untuk perkembangan game nya maaf saya kasih Bintang 1 dulu,apabila sudah berjalan dengan normal saya naikan lagi untuk rate bintang nya, TERIMAKASIH",2025-03-23 20:59:00
Pengguna Google,3,"tolong developer match y di perbaiki pencarian match yang tidak sesuai kalau main solo selalu dapat tim gelo. entah itu bot atau bukan, berbanding terbalik dengan tim musuh. kalau di liat dari ukuran data y bukan main sampai 11gb jadi bikin malas mau mainin game kalau kaya gini terus. kalau masih ga imbang ya mending uninstall aje. terimakasih",2025-04-09 09:24:59
Pengguna Google,1,"Match Maching yg sangat buruk, menghubungkan kembali sinyal yang terlalu lama, sinyal bagus tapi selalu terdeteksi jelek sama aplikasi. sangat buruk sekali. tim yang tidak pernah seimbang. harus bayar yang banyak dlu biar menang di game ini. BURUK SEKALI",2025-03-27 09:59:20
Pengguna Google,1,"Grafiknya bagus.. tapi ini game menyedihkan sekali. Sistem match makingnya sampah. dalam match ranked sering dipertemukan dengan rekan yg ngetroll , feeder & mati beberapa kali. sedangkan musuhnya sangat hebat & bersungguh sungguh niat menang. saya kecewa karena dalam 10 x permainan yg bersungguh sungguh, selalu kalah Karena hal itu. sekalinya menang,itu pun dikasih bot. jadi sebagai player saya sangat tidak nyaman dengan random match making di HOK.",2025-03-24 01:29:49
Pengguna Google,3,"Halo, okay jd dsini sy mo berkomentar asli bagi yg mau main game ini, *enaknya (1) banyak event2 berhadiah skin gratis/hadiah lain yang bagus2. (2) gameplay nya mudah. (3) bagi player pindahan btuh menyesuaikan diri tp cukup sepadan SM game ny sih.. *malesnya (1) ping jaringan suka patah2 (2) banyak bug, buat yg spek hp kecil Tdk disarankan (3) player ny krng komunikasi (4) kdng sy main & slesai match sy menang + mvp malah gk nambh bntg + gk ada history match (5) bagian pengetikan krng fleksibel",2025-04-10 03:08:37
Pengguna Google,3,"Gamenya seru, evennya jga banyak. Tapi game ini ga cocok untuk hp kentang, yang kalo dimainin kadang ngelag kadang log out sendiri dari gamenya. Klo udh log out, log in nya lama bgt. Keburu bete. Kenapa kadang dapat tim yang beban banget?! mau naik rank aja susah sekali, padahal masih rank bawah. Tolong dipermudah untuk blacklist orang.",2025-03-23 05:56:59
Pengguna Google,2,"Gamenya bagus sih,mulai dari grafik dan event juga oke,Tapi tolong lah min.. perbaiki system matchmaking nya.., kadang ada tim gw afk,curi lane,muter muter nggak jelas, bahkan diem doang saat war!! .. yang paling parahnya itu main kroyokan mulu!!! ketemu orang luar fix mainnya pasti kroyokan apalagi player philipina!! itu main moba apa main bola sih!! gw sebagai pemain solo Emosi lama² gw,punya tim ga pernah bener mulu saat main...",2025-03-26 00:27:26
Pengguna Google,1,"tidak ramah terhadap hp low specifications, memori masih tersedia banyak tapi tetap saja fps menyentuh 0, sudah di usahakan dengan mematikan aplikasi lain termasuk semua yg berjalan di latar belakang tetap saja tidak ramah framedrop yang sangat parah, awal rilis game padahal sangat ringan walaupun harus restart hp untuk bermain, skrg memang tidak perlu restart hp untuk bermain tapi fps yang jdi korban skrg saat ingin bermain, terimakasih atas game nya yang sangat tidak menyenangkan ini.",2025-03-27 17:39:29
Pengguna Google,1,sekedar saran hilangkan mode mode seperti rune dan siang malam di rank itu sangat menggangu sekali karena kita fokus pada rank dan mendapatkan bintang lebih baik mode seperti itu di letakkan di 5 vs 5 saja atau di mini gore karena saya merasa tak nyaman akan event mode seperti itu di rank dan sangat mengganggu sekali menurut saya maaf 🙏🙏🙏🙏,2025-04-05 05:24:48
Pengguna Google,3,"ini apk berat banget jir ngelag² sama kagak bisa kepencet apa apa padahal jaringan Baek² aja . nah satu lagi tolong itu kapasitas game nya di kurangin kadang ke download sendiri data nya padahal udah di pause , gua mau nya para player sendiri yang menentuin data mana yang mau ingin di download biar memori kagak penuh , lalu prioritas data di perlukan tolong battle dalam game , event sama Hero yg kita punya saja yg di download, kasihan apalagi hp nya ram 3 yang memorinya kecil pen main juga",2025-04-09 07:29:48
Pengguna Google,1,"untuk pemai solo di sesuaikan lagi lah pencarian untuk tim nya.. event boleh banyak, tapi tanggapi juga keluhan player.. jangan selalu dapat tim player baru main, sesuaikan dengan level pemain juga.. musuh jago tapi dapat tim bodoh",2025-03-26 18:51:23
